title,score,num_users_voted,num_fb_likes,genres,keywords,synopsis,date,budget,gross
September Dawn,5.8,2618,411.0,drama__history__romance__western,settler__mormon__utah__wagon train__massacre,"A story set against the Mountain Meadows Massacre, the film is based upon the tragedy which occurred in Utah in 1857. A group of settlers, traveling on wagons, was murdered by the native Mormons. All together, about 140 souls of men, women and children, were taken. Amidst this, two young lovers-to-be, one a Mormon and the other one of the doomed settlers from Arkansas, develop a relationship in an atmosphere of suspicion and rancor.",2007-09-07,11000000,1066555
For Greater Glory: The True Story of Cristiada,6.6,3665,4500.0,drama__history__war,mexico__hanging__catholic__rebellion__soldier,"What price would you pay for freedom? In the exhilarating action epic FOR GREATER GLORY, an impassioned group of men and women make the decision to risk it all for family, faith and country. This film unfolds the (hidden) true story of 1920's Cristeros War.",2012-08-10,10818775,5669081
La Famille B?lier,7.4,15060,6600.0,comedy__drama__music,deaf__singing__family relationships__love__audition,"The B?liers are ordinary people: Rodolphe and Gigi are married, have two children and run their farm for a living. Ordinary people? Well, almost... since three of them, Dad, Mum and their son Quentin, are deaf. Which is not the case of the boy's big sister, Paula. And not only can she speak but her music teacher scouts her beautiful voice as well. He offers her to sit for the entrance exam of the Ma?trise de Radio France, a vocal elite choir in Paris. Her parents, who rely on her as their ears and mouth in the outside world, take the news badly. Paula, who hates the idea of betraying her parents and her brother, goes through a painful dilemma...",2012-08-10,11000000,[]
Good Will Hunting,8.3,604904,31000.0,drama,professor__genius__friend__janitor__loss of wife,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart.",1998-07-24,10000000,138339411
Misconduct,5.3,6935,3800.0,drama__thriller,voyeurism__voyeur__lust__sexual attraction__black panties,"When an ambitious young lawyer takes on a big case against a powerful and ruthless executive of a large pharmaceutical company, he soon finds himself involved in a case of blackmail and corruption.",1998-07-24,11000000,[]
Saw III,6.2,142115,1500.0,horror__mystery,female full frontal nudity__torture__female nudity__brutality__trap,"Jeff is an anguished man, who grieves and misses his young son that was killed by a driver in a car accident. He has become obsessed for revenge against the man and reckless with his wife and daughter. When Dr. Lynn Denlon, who has troubles with her marriage, is abducted by the deranged Jigsaw's apprentice Amanda, she is brought to a gruesome warehouse to keep John Kramer alive in spite of having a terminal brain tumor. Amanda puts a necklace gadget full of explosives around Dr. Lynn's neck connected to John Kramer's life support system, and tells her that if he dies the device will explode. Meanwhile, Jeff is submitted to a sick game of forgiveness with surprising dark consequences.",2006-12-08,10000000,80150343
Stripes,6.9,48629,4900.0,action__comedy__war,army__rescue__graduation__boot camp__breasts,"At the end of a very bad day when he realizes his life has gone and is going nowhere, John Winger is able to convince his best friend, Russell Ziskey, whose life is not much better, to enlist in the army, despite they not being obvious soldier material. In basic training, they are only two of a bunch of misfits that comprise their platoon. However, it is still John that is constantly butting heads with their drill sergeant, Sergeant Hulka. Two of their saving graces are Stella and Louise, two MPs who get them out of one scrape after another. Their entire platoon is in jeopardy of not graduating. But what happens during basic leads to their entire platoon being assigned to an overseas mission in Italy, to test a new urban assault vehicle, the EM-50 project. John and Russell decide to take the EM-50 for an unauthorized test drive to visit Stella and Louise who have been reassigned to West Germany. In the process, the rest of the platoon, Hulka, and Hulka's immediate superior, ...",,10000000,85300000
Bring It On,5.9,70141,2900.0,comedy__sport,championship__cheerleading__high school__teenage romance__teen comedy,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen from the Clovers, a hip-hop squad from East Compton, by the Toro's former captain. While the Toros scramble to come up with a new routine, the Clovers, led by squad captain Isis have their own problems - coming up with enough money to cover their travel expenses to the championships. With time running out and the pressure mounting, both captains drive their squads to the point of exhaustion: Torrance, hell bent on saving the Toros' reputation, and Isis more determined than ever to see that the Clovers finally get the recognition that they deserve. But only one team can bring home the title, so may the...",2001-01-05,10000000,68353550
The Purge: Election Year,6.1,17596,7600.0,action__horror__sci-fi__thriller,ritual sacrifice__cathedral__minister__reference to george washington__presidential election,"It's been two years since Leo Barnes (Frank Grillo) stopped himself from a regrettable act of revenge on Purge Night. Now serving as head of security for Senator Charlie Roan (Elizabeth Mitchell), his mission is to protect her in a run for president and survive the annual ritual that targets the poor and innocent. But when a betrayal forces them onto the streets of D.C. on the one night when no help is available, they must stay alive until dawn...or both be sacrificed for their sins against the state.",2016-08-05,10000000,78845130
She's All That,5.8,67115,2600.0,comedy__romance,prom__bet__high school__prom queen__friend,"She's All That is your typical high school prom king and queen story and the run in defending the star status in the upcoming election. High school hottie, Zack Siler is dumped by his prom-queen girlfriend, the equally attractive and extremely popular, Taylor Vaughan who fell for a second-hand world reject TV soap star who she met over the spring break. Having been publicly dumped, Zack defends his discomposure by stating that Taylor is all make-up and wonder-bra and he can make any ordinary girl a prom queen with a similar package. His high-school buddy, Dean Sampson, engages him in a bet following this statement and picks the geeky looking Laney Boggs out of the crowd as the girl Zack must transform into the new prom queen. Zack agrees since he has no option, but as time passes and Laney begins to transform, Zack begins to find her attractive. While all that falls beautifully in place, it's not your typical fairy-tale. Throw in Dean Sampson to complicate the situation, as when he ...",1999-06-25,10000000,63319509
Precious,7.3,86956,12000.0,drama,lesbian couple__african american lesbian__lesbian__school__abuse,"It's Harlem 1987. Sixteen year old Claireece Jones - who goes by her middle name Precious - is an illiterate, overweight black girl. She is pregnant with her second child, both children fathered by her biological father, who has continually raped her since she was a child, but who she doesn't see otherwise. Her infant daughter, Mongo - such named since she has Down Syndrome - lives with Precious' grandmother. Precious lives with her mother Mary, who abuses Precious both physically and emotionally. Mary does nothing but smoke, watch television and collect welfare through fraud (as she doesn't ever look for a job) and believes that education does nothing for Precious, who she would rather also collect welfare if only to bring money into the household. To escape her life, Precious often daydreams of herself in glamorous situations. Because of her current pregnancy, Precious' principal transfers her into an alternative school. In dealing with the school's sympathetic teacher Miss Blu Rain...",2010-03-05,10000000,47536959
Saw IV,5.9,111087,1400.0,horror__mystery,rapist__serial rapist__rape__detective__fbi,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend or face the deadly consequences.",2007-12-07,10000000,63270259
White Noise,5.5,41763,1300.0,drama__horror__mystery__thriller,river__obsession__architect__voice__grave,"The car of successful author Anna Rivers is found disabled next to the river, the thought being that she accidentally fell into the river while trying to change a flat tire. Her dead body is found upstream several weeks later, consistent with the accidental death theory. Based on incidents around him, her grieving husband, architect Jonathan Rivers, decides several months later to visit with Raymond Price, who approached John prior to Anna's body being found with news that she was trying to contact him from beyond. At that time, John was skeptical of Raymond's claims of electronic voice phenomena (EVP): that he is contacted from the beyond through electronic means - radio, television - which he is able to record. Along with Sarah Tate, another of Raymond's ""clients"" whose fianc? passed away, John becomes obsessed with EVP as he gets more and more audio and video messages, however fuzzy, from Anna from beyond. That obsession takes a slight change in focus when John believes that Anna ...",2005-02-18,10000000,55865715
Madea's Family Reunion,5.0,8962,676.0,comedy__drama__romance,family reunion__madea series__cross dressing__sister sister relationship__reflective,"While planning her family reunion, a pistol-packing grandma must contend with the other dramas on her plate, including the runaway who has been placed under her care, and her love-troubled nieces.",2006-04-21,6000000,63231524
The Color of Money,7.0,57831,1900.0,drama__sport,pool__pool player__hustler__losing__tournament,"Pool hustler Fast Eddie Felson finds the young, promising pool player Vincent in a local bar and he sees in him a younger version of himself. To try and make it as in the old days, Eddie offers to teach Vincent how to be a hustler. After some hesitations Vincent accepts and Eddie takes him and Vincent's girlfriend Carmen on a tour through the country to work the pool halls. However, Vincent's tendency to show off his talent and by doing so warning off the players and losing money, soon leads to a confrontation with Eddie.",,13800000,52293982
The Longest Day,7.8,43270,6800.0,action__drama__history__war,world war two__invasion__d day__normandy__allies,"Tells the story of the D-Day invasion of Normandy in WWII. There are dozens of characters, some seen only briefly, who together weave the story of five separate invasion points that made up the operation.",,10000000,[]
The Mighty Ducks,6.4,44502,2900.0,comedy__drama__family__sport,team__hockey team__coach__lawyer__respect,"Gordon Bombay, a hotshot lawyer, is haunted by memories of his childhood, when, as the star player in his champion hockey team, he lost the winning goal in a shootout, thereby losing the game, and the approval of his coach. After being charged for drunk driving, the court orders him to coach a peewee hockey team, the worst in the league, Gordon is at first very reluctant. However, he eventually gains the respect of the kids and teaches them how to win, gaining a sponsor on the way and giving the team the name of The Ducks. In the finals, they face Gordon's old team, coached by Gordon's old coach, giving Gordon a chance to face old ghosts.",,10000000,50752337
The Grudge,5.9,115050,4000.0,horror__mystery__thriller,curse__american__nurse__rage__japan,"Karen Davis is an American Nurse moves to Tokyo and encounter a supernatural spirit who is vengeful and often possesses its victims. A series of horrifying and mysterious deaths start to occur, with the spirit passing its curse onto each victim. Karen must now find away to break this spell, before she becomes its next victim.",2004-12-17,10000000,110175871
Happy Gilmore,7.0,156143,3300.0,comedy__sport,golf__grandmother's house__golf ball__tournament__golfer,A Hockey player wannabe finds out that he has the most powerful golf drive in history. He joins the P.G.A. tour to make some money to save grandma's house. The downside is that his hocky player mentality doesn't really go on the P.G.A. tour. Especially with the favorite to win the championship.,,12000000,38624000
Jeepers Creepers,6.1,86890,4200.0,horror__mystery,demon__record player__wings__gore__tattoo,"On their way back home during the spring break, Darry and Patricia Jenner witness a mysterious person dumping something down a tunnel. Deciding to discover what was dumped down there, Darry discovers a huge disturbing hideout full of modified bodies. Darry and Patricia set off to get help, unaware that the individual is now aware of who has been down the tunnel. Darry and Patricia soon realizes that their pursuer is not just a mysterious person, but something even more horrifying, who has more in store than they could possibly imagine.",2001-10-19,10000000,37470017
Bill & Ted's Excellent Adventure,6.9,85362,9800.0,adventure__comedy__music__sci-fi,high school__telephone booth__payphone__failing student__teenager,"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.",,10000000,40485039
Oliver!,7.5,25303,2100.0,drama__family__musical,orphanage__pickpocket__orphan__child__abuse,Musical adaptation of,,10000000,16800000
The Best Exotic Marigold Hotel,7.3,75306,48000.0,comedy__drama,hotel__india__marigold__retiree__retirement,"Seven elderly Britons, for a variety of reasons, respond to an online ad and travel to Jaipur, India, where they find run-down hotel with a young, exuberant, and optimistic host. Evelyn, newly widowed, wants low-cost experience, Graham seeks a long-ago love, Douglas and Jean have lost their pension in a family investment, Muriel needs cheap hip surgery, Madge seeks a rich husband, and Norman is chasing women. India affects each in different ways, enchanting Douglas and Evelyn while driving Jean deeper into bitterness. Their host, young Sonny, has dreams but little cash or skill; he also has a girlfriend whom his mother dismisses. Stories cross and discoveries await each one.",2012-10-19,10000000,46377022
Recess: School's Out,6.5,6808,227.0,animation__family__comedy__mystery__sci-fi,summer__friend__summer vacation__principal__summer camp,"It's the most exciting time of year at Third Street Elementary-- the end of the School Year! But boredom quickly sets in for protagonist TJ Detweiler, as his friends (the other 5 protagonist children) are headed for Summer Camp. One day, while passing by the school on his bike, he notices a green glow coming from the school's auditorium. This is the work of the insidious ex-principal of Third Street, Phillium Benedict and his gang of ninjas and secret service look-alikes! Benedict is planning to get rid of Summer Vacation using his newly-acquired Tractor Beam, which he stole from the US Military Base in an effort to raise US Test Scores, and it's up to the Recess Gang to stop him! In the end, TJ and the gang, with the help from the other students, Principal Prickly, Ms. Finster and the other teachers, destroy the laser, Benedict and his henchmen are arrested, and the kids (TJ's buddies) decide to spend their Summer with TJ.",2001-08-10,23000000,36696761
Mad Max Beyond Thunderdome,6.2,101840,4200.0,action__adventure__sci-fi__thriller,post apocalypse__desert__fight__arena__mad max,"Bartertown is a city on the edge of a desert that has managed to retain some technology if no civilization. Max has his supplies stolen and must seek shelter there in a post apocalyptic world where all machines have begun to break down and barbarians hold what is left. He becomes involved in a power struggle in this third Mad Max film where he must first survive the town, survive the desert and then rescue the innocent children he has discovered.",,12305523,36200000
Commando,6.7,111649,8100.0,action__adventure__thriller,one man army__body count__jumping from an airplane__knife fight__dictator,"A retired special agent named John Matrix led an elite unit and has left the armed forces to live in a secluded mountain home with his daughter Jenny. But now he is forced out of retirement when his daughter is kidnapped by a band of thugs intent on revenge! Unbeknownst to Matrix, the members of his former unit are being killed one by one. Even though Matrix' friend General Franklin Kirby gives Matrix armed guards, attackers manage to kidnap Matrix and Jenny. Matrix learns that Bennett, a former member of his Matrix' unit who was presumed dead has kidnapped him to try to force Matrix to do a political assassination for a man called Arius (who calls himself El Presidente), a warlord formerly bested by Matrix who wishes to lead a military coup in his home country. Since Arius will have Jenny killed if Matrix refuses, Matrix reluctantly accepts the demand.",,10000000,[]
The Boy,6.0,35654,20000.0,horror__mystery__thriller,doll__nanny__england__surprise ending__animate doll,"Greta is a young American woman who takes a job as a nanny in a remote English village, only to discover that the family's 8-year-old is a life-sized doll that the parents care for just like a real boy, as a way to cope with the death of their actual son 20 years prior. After violating a list of strict rules, a series of disturbing and inexplicable events bring Greta's worst nightmare to life, leading her to believe that the doll is actually alive.",2016-03-25,10000000,35794166
Devil,6.3,104089,16000.0,horror__mystery__thriller,devil__throat slitting__elevator__trapped in an elevator__hit and run,"In Philadelphia, Detective Bowden is still grieving for his wife and son, killed in a hit-and-run five years ago. When someone jumps from a skyscraper onto a truck, Bowden is sent to investigate. Meanwhile, five strangers are trapped in an elevator in the building where the jumper committed suicide. The communication radio in the elevator is broken but the guards, Lustig and Ramirez, observe the individuals via CCTV as events unfold. Tensions run high among those trapped, so Lustig calls the police and Detective Bowden assumes the case. Without being able to contact the individuals, he tries to work out who they are, but he can only account for four of them. Time is running out for the occupants of the elevator, as Bowden realizes he has to get them out quickly.",2010-11-12,10000000,33583175
Friday After Next,5.8,19284,981.0,comedy__drama,christmas__security guard__apartment__rent__christmas present,Craig and Day Day have finally moved out of their parents houses and into their own crib. The cousins work nights at a local mall as security guards. When their house is robbed on Christmas Eve they team up to track him down.,2003-02-07,20000000,32983713
Insidious: Chapter 3,6.1,54190,29000.0,fantasy__horror__thriller,teenager__demon__psychic__supernatural__possession,"After trying to connect with her dead mother, teenager Quinn Brenner, asks psychic Elise Rainier to help her, she refuses due to negotiate events in her childhood. Quinn starts noticing paranormal events happen in her house. After a vicious attack from a demon her father goes back and begs Elise Rainier to use her abilities to contact the other side in hope to stop these attacks by this furious demon content for a body.",2015-08-07,10000000,52200504
The Last Dragon,6.9,9424,6300.0,action__comedy__drama__music,martial arts__kung fu classic__cult film__kung fu__title spoken by character,"In New York City, a young man searches for the ""master"" to obtain the final level of martial arts mastery known as the glow. Along the way, he must fight a martial arts expert corrupted with power, and rescue a beautiful singer from an obsessed music promoter.",,10000000,33000000
Snatch,8.3,600996,27000.0,comedy__crime,diamond__fight__boxing__gypsy__boxer,"Turkish and his close friend/accomplice Tommy get pulled into the world of match fixing by the notorious Brick Top. Things get complicated when the boxer they had lined up gets badly beaten by Pitt, a 'pikey' ( slang for an Irish Gypsy)- who comes into the equation after Turkish, an unlicensed boxing promoter wants to buy a caravan off the Irish Gypsies. They then try to convince Pitt not only to fight for them, but to lose for them too. Whilst all this is going on, a huge diamond heist takes place, and a fistful of motley characters enter the story, including 'Cousin Avi', 'Boris The Blade', 'Franky Four Fingers' and 'Bullet Tooth Tony'. Things go from bad to worse as it all becomes about the money, the guns, and the damned dog!",2001-03-09,,30093107
The Lawnmower Man,5.4,27800,2200.0,horror__sci-fi,virtual reality__intelligence__supernatural power__science runs amok__scientist,"A scientist performs experiments involving intelligence enhancing drugs and virtual reality on a simple-minded gardener. He puts the gardener on an extensive schedule of learning, and quickly he becomes brilliant. But at this point the gardener has a few ideas of his own on how the research should continue, and the scientist begins losing control of his experiments.",,10000000,32101000
Nick and Norah's Infinite Playlist,6.7,74887,4300.0,comedy__drama__music__romance,night__band__gay__love__gay friend,"It's been three weeks, two days, and 23 hours since Tris broke up with Nick. And now here she is at his gig, with a new guy. How could she have moved on so fast? This begins the night of Nick, Norah and Manhattan. The night of stripping nuns, hotel ice rooms, Russian food, psychotic ex-boyfriends and lovingly trashy ex-girlfriends. It's the night of Julio and Salvatore. The night of holding hands and writing songs and singing in the rain. It's a night they'll never forget.",2008-11-14,9000000,31487293
Dogma,7.4,181737,10000.0,adventure__comedy__drama__fantasy,angel__clinic__abortion clinic__abortion__church,"An abortion clinic worker with a special heritage is enlisted to prevent two angels from reentering Heaven and thus undoing the fabric of the universe. Along the way, she is aided by two prophets, Jay and Silent Bob. With the help of Rufus, the 13th Apostle, they must stop those who stand in their way and prevent the angels from entering Heaven.",2000-03-24,10000000,30651422
The Banger Sisters,5.6,12388,744.0,comedy__drama,lawyer__bartender__writer__road trip__groupie,"In West Hollywood, Suzette, now on the far side of middle age, has always been a party girl, leading a life solely for the here and now. When the here and now leads to her without a job, no money and thus no sense of whether her partying life has gotten her anywhere, she decides to go into her distant past to visit in Phoenix an old friend, Vinnie, who she has not seen or talked to in twenty years. In their shared past, Suzette and Vinnie were Los Angeles groupies coined the Banger Sisters for their penchant to sleep with any and all rock musicians who came through Southern California. Suzette does know however that Vinnie's life has changed, she married to Raymond, a lawyer who has political aspirations, the two who have two teenaged daughters. It is in part the reason she decides to visit now well off Vinnie, to see if she will lend her some money. Suzette reconsiders when she finds out just how far Vinnie has changed. She now goes by her full given name Lavinia, and is not only the...",2002-12-20,10000000,30306281
Twilight Zone: The Movie,6.5,25613,1300.0,fantasy__horror__sci-fi,remake__1960s__1940s__bar__kick the can,"Four directors collaborated to remake four episodes of the popular television series 'The Twilight Zone' for this movie. The episodes are updated slightly and in color (the television show was in black-and-white), but very true to the originals, where eerie and disturbing situations gradually spin out of control.",,10000000,29500000
Road House,6.5,42987,9500.0,action__thriller,violence__bikini__cult film__fired from the job__martial arts,"Dalton is the Cooler in bars; He backs up and directs the bouncers. He takes a job in a Road House that has gotten far too rough. His attempts to clean things up put him in conflict with Brad Wesley, the town bully and rich person. Things heat up.",,17000000,30050028
A Low Down Dirty Shame,5.8,3924,368.0,action__comedy__crime,drugs__gun fu__shootout__machismo__ex cop,"A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money.During the course of his investigation, he encounters various old connections, ultimately confronting the criminal responsible for Shame's expulsion from the force. He must also deal with two women, Angela, a beautiful old flame, and Peaches, his energetic but annoying sidekick.",,10000000,29392418
Swimfan,5.0,16300,720.0,drama__thriller,high school__swimming__hospital__new jersey__stanford university,"New Jersey high school senior Ben Cronin is a former juvenile delinquent, whose past criminal behavior was fueled by and for drug use. He credits the support of his now long time girlfriend Amy Miller and getting into competitive swimming as the primary reasons for turning his life around, which includes working part-time at the hospital where his single mother works. He has become the star swimmer of his high school team, so much so that scouts from Stanford University are coming in a week's time to watch Ben swim. Ben has a new swim fan in Madison Bell, a recent transfer student to Ben's high school. Despite Ben making it clear that he is in a committed relationship, Madison seduces him, the seduction to which he succumbs. They agree afterward that their encounter was a one-time only event, but Ben slowly comes to the realization that despite Madison's assertions to the contrary, she has more in mind with him. He feels her constant unspoken threats to expose their tryst and ...",2002-11-27,8500000,28563926
Employee of the Month,5.5,37681,1100.0,comedy__romance,employee__slacker__competition__date__laser in eyes,"Slacker Zack Bradley works as a box boy at Super Club, a warehouse club store. It is the lowest in the job hierarchy at the store. He doesn't work very hard at his job, and along with some of his fellow employee friends treats the store like his playground. Regardless, he is well liked by most of the other employees. He used to be hard working, when he was developing a dot com, but he lost all his and his grandmother's money in the process. As such, he decided not to take any risks in life while he now lives with her so as to provide her with what he considers at least a more reliable life. On the other extreme is Vince Downey, who lords an air of superiority over his fellow employees as the store's head cashier. He lives to be the store's best employee solely so that he can be named Employee of the Month, which he has been named seventeen months in a row. If he is named Employee of the Month for a record eighteenth time in a row, he will be rewarded with entrance into the ...",2006-11-22,12000000,28435406
Can't Hardly Wait,6.5,37885,2400.0,comedy__romance,high school__party__graduation__letter__nerd,"It's high school graduation and, like all seniors, they want to party. So, 500 high school seniors look forward to a party while, in the meantime, a boy wants to get a girl he's loved for years who just broke up with her boyfriend, and one head-case who wants revenge on a lifelong bully. So, the party comes, things develop. People have sex, drink, and go along with most of the guidelines of a high school graduation party.",1998-08-28,10000000,25339117
The Outsiders,7.2,57363,10000.0,crime__drama,gang__rivalry__holding someone's head underwater__dysfunctional family__greaser,"The movie details a town split between the wealthy South Zone gang called 'The Socials' and the poor North Zone gang called 'The Greasers'. Dallas Winston, Ponyboy Curtis and Johnny Cade from 'The Greasers' befriend the rich Cherry Valance and Marcia at a drive-in. Later that night, a group of 'The Socs' chase and beat up Johnny and attempt to drown Ponyboy in a fountain. However, Johnny stabs one Soc and kills him, saving Ponyboy. The desperate boys seek Dallas who finds a hideout for them in a nearby town. One week later, Johnny and Ponyboy decide to return to their hometown, with Dallas, to claim the murder as self-defense. But on their way back, they see the church on fire and Ponyboy and Johnny help the children trapped in the church and become heroes. However Johnny is badly wounded and confined to the hospital. Meanwhile The Socs and The Greasers prepare to fight.",,10000000,25600000
Pete's Dragon,7.3,408,21000.0,adventure__family__fantasy,,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",,65000000,[]
The Dead Zone,7.2,44804,4100.0,horror__sci-fi__thriller,coma__car accident__vision__evil politician__psychic,"Christopher Walken wakes from a coma due to a car accident, only to find he has lost five years of his life, and yet gained psychic powers. Foreseeing the future appears to be a 'gift' at first, but ends up causing problems...",,10000000,[]
Sinister 2,5.2,25210,13000.0,horror__mystery__thriller,deputy__rural__farmhouse__private investigator__nightmare,"Following the events from the first film, a different family; a mother and her 2 sons move into a rural house that's marked for death. When the deputy from the first film learns that this family is next in line to fall to the demon Bhughul, he races before time to stop it and save them from the same fate.",2015-10-23,10000000,27736779
Sparkle,5.7,5161,3500.0,drama__music,girl group__sister__1960s__death__nightclub,"In the 1960s, three sisters form a girl group and soon become local sensations with major label interest, but fame becomes a challenge as the close-knit family begins to fall apart.",2012-09-28,17000000,24397469
Valentine,4.7,20467,1300.0,horror__mystery__thriller,valentine__dance__valentine's day__revenge__nosebleed,"Valentine's Day 1988: At the school dance, geeky Jeremy Melton bravely faces one rejection after the other when asking four popular girls to dance with him. A fifth girl, plump and insecure, agrees, but they end up making out under the bleachers. When a group of school bullies catches them, the girl claims that Jeremy attacked her. This causes them to strip off his clothes and beat him up in front of the entire school. Flash forward to 2001. We meet the five girls who were in that school gym: Kate, Paige, Shelly, Lily and the formerly plump Dorothy. They are all in their 20's now and trying to sort out their love lives, which is appropriate, since Valentine's Day is coming up. After a disastrous date with a loser, one of the girls, a pre-med student, is murdered by a Cherub-mask wearing killer who sent her a death threat in the form of a Valentine card prior to the attack. After the four remaining girls are reunited at her funeral, they all start receiving threatening cards and ...",2001-04-13,10000000,20384136
The Fourth Kind,5.9,63108,15000.0,mystery__sci-fi__thriller,alien__alaska__owl__abduction__patient,"In 1972, a scale of measurement was established for alien encounters. When a UFO is sighted, it is called an encounter of the first kind. When evidence is collected, it is known as an encounter of the second kind. When contact is made with extraterrestrials, it is the third kind. The next level, abduction, is the fourth kind. Modern-day, Alaska, where-mysteriously since the 1960s-a disproportionate number of the population has been reported missing every year. Despite multiple FBI investigations of the region, the truth has never been discovered. Here in this remote region, psychologist Dr. Abigail Tyler began videotaping sessions with traumatized patients and unwittingly discovered some of the most disturbing evidence of alien abduction ever documented. The Fourth Kind exposes the terrified revelations of multiple witnesses. Their accounts of being visited by alien figures all share disturbingly identical details, the validity of which is investigated throughout the film.",2010-01-01,10000000,25464480
A Prairie Home Companion,6.8,19655,683.0,comedy__drama__music,singing__radio__backstage__cowboy__country music,"A final live variety show broadcast via radio becomes a metaphor for the natural order of life. A concept and script by Garrison Keilor uses every natural and technical element of working with a tight and close ensemble producing a weekly show to sooth us and guide us through the natural but difficult transitions of aging, becoming less relevant and then dying as new, young life develops and strengthens during our final ""performances."" This is a rare film for it's remarkable cast and crew and one wonders how the great Robert Altman was able to gather them all at the same place and time to shoot this film.",2006-10-06,10000000,20338609
Sugar Hill,5.9,3119,331.0,thriller__drama,manhattan new york city__urination__new york city__harlem manhattan new york city__african american,"Hardened, uncomprimising drug dealer Roemello Skuggs decides to quit his scumbag profession so he may start a new life with his girlfriend. However, he soon learns getting out is nowhere near as easy as getting in, as everything gradually builds up to end in tragedy.",,10000000,18272447
Invasion U.S.A.,5.3,6143,1100.0,action__thriller,spy__army__nightmare__rescue__one man army,"A terrorist, Rostov, is planning to unleash a reign of terror on the U.S.. But before he does he decides to go after Matt Hunter, a former CIA agent who lives in Florida. Hunter once had Rostov's life in his hands, but on orders took him alive, and now Rostov is plagued by nightmares of Hunter killing him. So Rostov goes after him but misses, so Hunter, who has already been approached by his former employers to go after Rostov, after initially turning down the job, because he believed that they should have let him terminate Rostov when he had the chance, decides to go after him. But he is only one man and Rostov has hundreds of men ripping the country apart, so how will he stop it?",,10000000,[]
Roll Bounce,6.0,5585,997.0,comedy__drama__music__romance,competition__roller skates__1970s__tubesocks__boy,"1970s roller-skate jams fuel this coming-of-age comedy, as X and his friends, who rule their local rink, are shocked when their home base goes out of business. Heading over to the Sweetwater Roller Rink, they find their modest talents are, at first, no competition for their trick skaters and pretty girls who follow their every move.",2005-12-30,[],17378977
Rushmore,7.7,134458,5000.0,comedy__drama,coming of age__teacher__student__private school__friendship,"Max Fischer is a precocious 15-year-old whose reason for living is his attendance at Rushmore, a private school where he's not doing well in any of his classes, but where he's the king of extracurricular activities - from being in the beekeeping society to writing and producing plays, there's very little after school he doesn't do. His life begins to change, however, when he finds out he's on academic probation, and when he stumbles into love with Miss Cross, a pretty teacher of the elementary school at Rushmore. Added to the mix is his friendship with Herman Blume, wealthy industrialist and father to boys who attend the school, and who also finds himself attracted to Miss Cross. Max's fate becomes inextricably tied to this odd love triangle, and how he sets about resolving it is the story in the film.",1999-06-11,9000000,17096053
Skyline,4.4,76199,13000.0,action__sci-fi__thriller,light__group of friends__blue light__drawing__apartment,"Jarrod and his pregnant girlfriend Elaine travel to Los Angeles to meet his old friend and successful entrepreneur Terry, and his wife Candice. Terry gives a party in his apartment for Jarrod and offers a job position to him in LA. Terry's assistant and lover Denise (Crystal Reed) and his friend Ray (Neil Hopkins) sleep on the couch in the living room, but in the dawn of the next morning, the group is awakened by mysterious beams of blue light. Ray stares at the light and is taken by the mysterious force. The group of friends try to escape from the alien invaders.",2010-12-17,10000000,21371425
